#The local date and time: 	Fri May 14 14:22:23 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
17	12	24	12772	18	14635	1793	19	11	0	0	0	10	10	5	453877120
122	36	49	125	38	178	7032	40	17	0	0	0	7	7	5	3223428960
19	12	22	86	21	93	1810	19	11	0	0	0	8	8	5	3521986816
135	26	28	124	41	136	6762	51	22	0	0	0	9	9	5	2749379136
22	12	24	13006	20	16785	2445	21	12	0	0	0	12	12	5	457739904
76	23	31	13030	36	14552	4175	40	19	0	0	0	10	10	5	2419062048
65	22	24	185	36	193	3991	38	15	0	0	0	10	10	5	1606408955
9	8	27	117	16	149	342	9	7	0	0	0	10	10	5	1494024802
136	28	29	154	59	203	6913	52	21	0	0	0	9	9	5	2795823040
77	24	29	149	71	143	5958	40	18	0	0	0	7	7	5	4068086848
89	28	28	122	42	171	8132	45	20	0	0	0	7	7	5	1732675072
44	16	38	13416	23	14851	5200	27	14	0	0	0	9	9	3	4146038272
84	26	29	183	66	135	6443	44	19	0	0	0	8	8	5	3231905072
81	25	30	122	36	134	6541	44	19	0	0	0	7	7	5	1441305184
64	46	29	133	55	217	7277	60	22	0	0	0	11	11	5	1741151184
147	28	29	142	45	135	6179	50	21	0	0	0	8	8	5	2040997184
131	28	29	164	45	162	6436	52	22	0	0	0	8	8	5	2340843184
99	26	27	114	42	124	7698	68	23	0	0	0	12	12	5	3742949888
111	29	29	122	53	134	18991	50	22	0	0	0	8	8	5	3505924976
107	28	29	138	46	145	7763	71	27	0	0	0	13	13	5	4216999712
