#The local date and time: 	Fri May 14 16:12:40 2021

#TIME CONSUMTION CALCUALATIONS, Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/SplittedPcaps/T1oneGig.pcap
#This file contains the Time report for implementing functions below
#All Randomness Tests plugin functions including RTs in R seperated
#RTs preprocessing (which includes the initialization of R instance in the first time)
#Ground truth label extraction in which the caputred flow is matched with the ones saved in GT file
#Classification time using ANN prediction
#NOTE: this time calculation is for each processed flow
#in ANN classification with its trained model(the model is loaded only once in the first flow)
#
RTpre	Freq	Blockfreq	Ser	Cumsum	ApEnt	Dft	Lruns	Runs	TBT	GCD	Bckstack	GTmatch	Classification	Packets	FlowID
99	26	26	13465	53	15839	6027	51	24	410660	582337	494008	10	10	5	421133824
103	28	30	131	44	138	7069	51	22	410898	473359	485781	10	10	5	3944371072
93	29	29	142	45	138	6640	54	25	423489	535898	498304	9	9	5	2118744368
106	30	21	99	45	96	8962	51	24	415122	475207	493726	9	9	5	78546368
9	5	8	43	7	57	170	5	2	79754	94576	94414	22	22	1	3565768768
15	5	8	41	7	55	167	4	2	76027	93533	96373	10	10	1	404707520
15	5	8	44	7	56	173	4	2	77060	101155	104383	11	11	1	1685561248
9	5	8	46	6	61	183	5	2	87604	109429	108226	11	11	1	3418821088
79	38	17	16345	31	18652	4465	32	17	284353	296468	300513	10	10	4	409517968
82	24	17	13917	39	16321	5493	84	30	330249	374693	383865	12	12	5	2240679936
54	19	25	211	29	206	3619	33	17	393160	468395	482196	11	11	5	3818948430
57	19	25	166	28	206	3576	33	16	388697	465832	473356	10	10	5	3503213200
107	28	31	126	41	139	6630	53	21	411902	529001	493215	10	10	5	558923072
108	28	31	127	43	151	7265	51	21	411988	533809	491341	11	11	5	3185463184
26	10	24	90	18	119	959	13	8	156000	192740	195269	10	10	5	3093260662
97	29	31	126	42	140	6611	50	22	413436	537997	478674	10	10	5	2556552192
52	17	20	14248	34	16193	4548	31	16	243183	344878	287507	9	9	3	4158942368
92	26	19	14634	41	15885	8438	61	22	332297	374612	396320	10	10	5	1485645824
81	25	17	13441	39	15377	8110	49	21	335362	378100	391408	14	14	5	1377783808
83	24	17	13817	38	15876	5499	46	20	328743	370424	391750	10	10	5	1269921792
71	23	34	145	33	170	5517	38	19	400480	599083	490590	11	11	5	1142907664
103	31	33	128	46	140	7083	48	22	417930	534774	489835	11	11	5	1205301072
97	28	19	13470	45	15429	6578	52	23	409256	537634	497546	10	10	5	953953248
59	20	42	177	35	206	2656	38	16	408319	466944	478476	10	10	5	3845169504
110	29	19	13965	43	15868	7681	51	23	409805	536225	497152	28	28	5	2541005296
91	29	19	13893	42	16087	8949	78	25	417888	527867	490590	10	10	5	2580016160
106	28	19	13804	44	15828	8887	53	24	412146	472893	491688	10	10	5	1037816816
94	28	19	13844	43	15862	9009	51	24	414301	473735	494546	10	10	5	280631712
96	29	31	127	43	139	7319	55	37	416309	463602	487813	10	10	5	4148318240
64	21	43	172	34	210	5119	43	17	405246	539431	477819	10	10	5	2431747872
65	22	22	14472	32	15981	3978	32	19	399987	655295	491631	10	10	5	1571535600
37	10	24	93	20	122	1000	13	7	157977	190173	190950	9	9	4	2408452076
25	9	24	91	12	119	997	11	5	150881	183861	188403	10	10	4	1341984210
51	15	25	13948	27	16040	4039	30	12	321610	373956	385209	12	12	4	311714464
9	3	1	2	1	1	2	0	0	0	0	0	6	6	1	2004780720
106	28	28	122	42	133	6654	100	22	421806	481776	492000	12	12	5	1017564960
53	19	35	13932	45	15960	2825	38	21	400048	657400	480610	10	10	5	1241133056
38	14	10	41368	25	47406	2025	41	13	242786	287552	292517	10	10	5	1206582272
91	28	29	125	60	159	6658	50	24	403072	522749	487713	10	10	5	3820386544
93	28	30	125	43	138	7670	52	24	401900	520288	492561	10	10	5	2368383472
98	28	29	122	41	133	6434	51	23	408204	538028	488257	10	10	5	1120437824
70	24	14	55290	40	61852	4031	49	20	393893	586113	492815	10	10	5	3581298608
104	29	30	167	44	137	8078	51	23	414240	464082	482981	10	10	5	1371722176
29	13	19	64	21	79	1199	21	8	164504	250342	192495	11	11	5	400639088
33	11	18	13901	18	15603	3389	20	10	157600	242017	196989	10	10	5	1961621328
84	24	28	104	39	116	5642	68	22	328542	381480	389096	10	10	5	2633927264
98	28	44	126	45	148	7770	53	22	408727	470771	486323	24	24	5	1623006528
99	56	31	136	42	138	6181	53	21	407421	470430	484811	9	9	5	3533465264
96	28	29	121	42	146	5726	52	24	408039	471613	491903	10	10	5	1148956704
157	30	19	13761	61	16497	7577	57	25	413518	539197	486934	11	11	5	280018176
98	29	32	127	44	140	6611	54	20	401808	526517	490317	10	10	5	2745567776
96	29	31	137	43	138	10734	57	25	412848	474382	485359	10	10	5	4210237792
71	21	31	146	44	156	3189	37	16	317366	428337	388324	12	12	5	62587904
71	21	38	169	34	159	3791	40	16	319715	369465	388693	10	10	4	2109807104
26	10	20	13608	18	15848	938	19	12	163131	187039	194504	11	11	5	2977277952
126	28	21	103	35	99	7871	40	22	420607	459115	487327	10	10	5	2653691904
39	15	11	13420	26	15411	9448	25	14	165785	186337	196842	10	10	5	2437967872
86	27	30	14315	46	16481	10768	48	25	400949	460391	479263	10	10	5	2903523808
87	28	30	122	42	149	6796	49	24	413916	469981	479970	11	11	5	238375280
70	24	33	146	38	171	5648	46	20	395746	471151	484318	10	10	5	2067792976
68	23	38	13985	39	15962	21355	47	23	412314	528487	481241	11	11	5	1074106112
94	28	31	125	43	136	6167	52	25	411394	477302	490933	10	10	5	2730728528
91	28	31	126	44	139	6356	51	21	411696	467950	493790	10	10	5	1862601072
93	28	31	140	47	139	6583	56	24	418166	484143	492372	11	11	5	277142080
90	26	40	153	41	181	7183	55	25	407389	532305	481980	10	10	5	913273984
45	17	45	152	28	194	17386	34	16	324839	377940	393529	11	11	5	477463216
74	21	36	134	34	160	3774	39	15	328013	381175	395172	10	10	5	924137680
69	23	27	104	35	130	6092	41	19	328140	376250	390864	11	11	5	2455772400
105	31	29	124	46	133	5682	53	22	404796	529865	490935	10	10	5	1305687392
93	34	31	129	43	138	8822	52	23	411563	531724	485879	24	24	5	4289887952
56	18	26	124	29	166	2315	33	16	310640	381574	388467	10	10	5	1139283584
75	23	44	176	37	216	4036	47	20	402720	470938	483284	11	11	5	3891989504
94	28	30	139	43	137	14327	51	22	414347	472875	499368	10	10	5	1082921920
115	28	30	124	43	137	14806	52	21	419552	473151	491171	10	10	5	246205008
73	37	50	178	36	217	6158	51	18	410029	474254	495324	10	10	5	485544960
97	29	30	124	43	136	8273	55	22	412645	533168	485895	10	10	5	811594800
88	26	31	127	38	140	8260	49	25	406990	472330	491877	10	10	5	3019114736
66	21	37	134	35	177	4137	42	16	331567	379791	395014	10	10	5	707675648
92	25	38	147	38	171	15304	47	21	411544	471215	484536	10	10	5	3496943616
84	24	38	160	39	173	6135	47	19	408561	473012	491413	10	10	5	1991244288
90	28	30	121	42	147	8143	50	23	408925	468521	485813	13	13	5	1237082976
89	28	45	126	42	139	6790	53	22	416975	547142	492458	9	9	5	4109900800
106	31	30	124	43	137	9226	52	23	413302	536202	490261	10	10	5	1251342416
118	30	31	126	44	139	8092	66	25	419525	538909	493688	10	10	5	1725392240
94	29	30	124	43	137	7946	51	22	414915	534599	494461	9	9	5	697320400
91	29	31	127	43	139	6736	52	24	415285	534584	491511	11	11	5	2339343680
53	21	29	13906	30	16014	4680	38	19	405296	530425	484708	10	10	5	2632023040
92	26	51	158	39	174	18869	52	24	418905	477599	482939	10	10	5	3817505280
50	16	38	14132	31	16041	4565	38	20	406979	664721	488574	11	11	5	3698194432
42	13	19	64	21	131	2838	40	31	160668	187208	195666	10	10	5	1786339936
32	11	19	62	19	78	3203	19	9	162410	187292	195125	9	9	5	4251889536
28	12	21	13772	19	15636	4252	18	10	165938	189324	195645	11	11	5	3644263424
42	16	41	13986	28	16044	5176	31	14	318526	560381	385648	9	9	5	3042819072
93	28	29	121	42	133	6516	50	20	400361	478187	489241	10	10	5	123255616
70	24	39	14030	39	16063	7967	47	22	398979	460529	484956	10	10	5	16014848
66	23	38	14025	38	16105	8442	48	21	396539	538611	485798	10	10	5	3249544192
64	22	38	14012	37	16176	7240	47	20	398863	592113	486989	10	10	5	238145536
76	24	39	145	39	170	12812	51	22	404964	474207	485821	10	10	5	4071418192
94	25	30	126	39	138	6560	58	23	418503	462926	484375	10	10	5	987944224
89	26	39	153	42	170	13414	51	21	410059	474651	489311	9	9	5	2241261872
77	24	38	157	39	170	21294	58	22	415343	473843	487112	10	10	5	1220407936
101	26	37	145	41	171	5177	49	19	414865	462816	491193	10	10	5	4282969744
53	17	26	27850	33	31719	4436	35	18	321683	496424	390572	10	10	5	2544894976
90	27	30	122	55	136	7767	50	19	414166	466411	495888	11	11	5	1742543152
84	25	38	13903	39	16087	7636	50	24	411687	473273	489713	10	10	5	570195968
67	22	15	14442	35	15838	10995	36	19	247927	279596	292003	10	10	5	516264960
57	24	26	137	31	152	2246	34	15	317155	381408	385982	23	23	5	4057234560
49	17	35	26901	30	31169	5817	34	13	322907	377230	386177	10	10	4	4008909440
67	22	39	26938	45	31187	12888	44	19	414759	467671	487684	10	10	5	1555194240
69	21	40	163	43	164	18331	43	22	409225	537448	484569	10	10	5	3396446336
27	11	29	104	20	120	2317	16	10	169155	191708	189926	10	10	4	4010840832
89	28	29	134	43	133	16290	49	22	408763	470680	485616	10	10	5	3332914432
91	27	30	122	58	136	7712	49	23	398009	537266	485821	10	10	5	31592480
66	22	28	13636	36	15592	4392	38	21	397962	528920	484292	10	10	5	2483304448
110	29	30	126	42	138	6737	50	21	412067	533722	483835	9	9	5	1436715136
84	22	31	148	32	173	5241	38	22	407084	533427	489347	9	9	5	2486308864
91	28	32	125	43	138	10567	51	22	411236	470143	486167	10	10	5	1736561136
62	23	28	13992	35	16191	4842	40	22	392717	586043	488749	10	10	5	2484806656
113	28	31	126	58	140	10529	51	22	399852	471306	487110	10	10	5	2873124048
90	29	31	127	44	155	6765	54	22	412163	462454	496857	10	10	5	520026032
49	18	28	28284	29	31764	14520	33	20	321998	492850	390675	11	11	5	3573420320
75	26	29	122	47	135	6548	42	20	404376	532888	481306	11	11	5	2516110832
85	26	20	97	35	95	7208	44	21	409570	467822	487082	11	11	5	586662016
109	28	30	123	43	137	6234	50	22	405144	529413	488551	10	10	5	1433823472
46	17	29	30111	31	33121	4622	33	18	325275	439171	386886	10	10	5	1566782592
93	74	34	129	43	155	7035	54	24	416865	531463	491886	10	10	5	3000856320
42	16	28	27188	28	30957	2567	28	17	319515	447150	387857	10	10	5	1568713984
44	18	25	143	28	154	3917	31	16	322947	429885	381603	11	11	5	652391360
93	29	30	122	43	135	7085	52	24	412559	537185	493910	10	10	5	2930161808
54	19	27	27569	31	31621	4467	39	20	402508	645891	482797	10	10	5	1413578752
51	20	31	177	36	205	2432	37	16	396796	461964	486998	10	10	5	1302243712
86	28	32	123	42	137	5935	63	20	411973	537173	485960	10	10	5	1522271776
105	28	32	124	43	150	6778	50	22	413288	469985	489102	24	24	5	85862864
92	41	32	126	42	137	6109	52	21	414659	473934	489244	10	10	5	130083072
89	42	31	132	44	134	17886	49	21	413804	472012	489613	10	10	5	2735915216
108	28	32	127	42	138	20267	53	22	410097	538900	494904	9	9	5	3321347776
96	28	32	139	43	140	5880	53	23	410284	471269	492729	9	9	5	2972940128
95	28	32	124	42	138	7927	52	21	416074	473420	481409	9	9	5	3446989952
111	26	32	127	37	141	6618	53	23	407451	471795	487304	9	9	5	3209965040
22	10	9	14258	18	17240	632	12	8	161118	253366	195527	9	9	3	114381744
26	11	16	13850	21	15891	1932	15	9	240072	459665	287040	9	9	5	839715920
70	25	38	150	41	175	13672	51	34	409729	471959	485843	9	9	5	2692433232
96	26	30	125	39	148	13446	49	23	405837	468961	492320	10	10	5	226883632
17	10	10	13881	16	15904	1575	12	7	158225	246961	190811	10	10	4	1550790656
58	20	41	172	33	213	5430	41	18	395770	469378	488027	10	10	5	1471176704
76	26	19	13988	37	16026	13757	45	22	401952	470796	482164	10	10	5	913904784
66	23	15	69034	35	79171	8103	44	19	395864	465522	490956	10	10	5	2812954112
77	27	17	27782	58	33775	9439	80	27	413450	536262	493469	10	10	5	2926646272
85	55	30	144	43	136	4394	52	21	419250	538270	499093	10	10	5	381022208
90	28	30	124	44	137	5682	50	21	419323	541586	489516	11	11	5	652466176
87	27	20	109	35	93	5118	43	21	414500	473604	495415	11	11	5	3743986688
115	30	32	126	43	138	8778	63	24	418343	471072	489150	10	10	5	1567742880
95	28	31	153	43	147	6462	52	24	421119	473909	493752	10	10	5	2167434880
75	26	40	150	40	195	14185	49	22	416606	479081	489684	22	22	5	3568783872
85	26	40	150	42	190	19683	50	22	415699	474752	488146	10	10	5	3346653184
56	24	12	27744	30	31621	5813	33	15	246461	281411	293350	11	11	5	3348854784
48	18	25	27565	32	31555	7406	37	17	330435	429729	389834	11	11	5	2021720064
100	31	32	128	43	139	14054	57	24	423886	543608	491158	10	10	5	2530169424
133	30	27	124	43	149	7481	50	21	417787	475579	491925	11	11	5	4149846704
93	27	27	124	42	137	7193	67	22	409890	477015	495199	12	12	5	1674155616
95	29	29	124	60	139	7032	50	24	417039	475364	494455	12	12	5	3712236784
87	27	28	13893	43	15894	5433	52	25	414081	471246	494514	10	10	5	655816192
71	21	35	14117	42	15964	4634	46	23	401402	467122	489899	10	10	5	2161515520
96	24	16	13906	38	15944	7953	44	20	330560	442253	392808	9	9	5	2178356224
37	16	10	13717	23	15789	1920	21	11	171818	185187	192968	10	10	5	2176854016
36	14	9	13765	22	15805	4618	22	12	165675	186030	194841	10	10	5	2181360640
94	47	29	129	69	140	6864	48	22	414000	476151	489800	10	10	5	301553872
49	17	11	13780	28	15967	16839	32	15	249104	351195	295278	9	9	3	3469615728
78	22	23	102	36	116	4614	38	16	402655	530473	484176	11	11	5	874161408
77	25	23	119	37	131	5624	43	19	413400	469695	489231	10	10	5	1386790022
82	26	29	122	41	166	6225	47	23	412311	469851	492623	9	9	5	572610092
97	26	29	122	40	135	5842	48	21	416295	478045	496573	12	12	5	165520127
88	26	23	123	38	136	5730	43	19	404953	474562	488043	10	10	5	4053397458
67	23	28	13938	38	16018	4301	42	21	407962	532973	496472	10	10	5	3123196880
41	16	31	157	28	198	2399	31	15	319545	379885	380594	10	10	5	401761266
65	19	27	164	33	204	3282	35	15	398681	599725	484437	10	10	5	1951449152
47	20	26	15146	35	16659	2931	31	17	404082	652198	479440	10	10	5	2095845959
40	17	25	14057	31	16111	2342	34	18	389362	524267	481920	11	11	5	2759346688
67	24	29	105	40	118	5935	49	25	414174	532318	501552	11	11	5	4289520264
93	28	29	128	43	140	6815	54	23	407260	535117	491332	10	10	5	1850238896
50	19	20	97	33	97	17164	32	16	258221	353220	297611	10	10	3	2753423360
72	25	41	146	41	171	11739	60	20	417645	542513	490912	11	11	5	2455948176
82	26	28	164	72	138	7873	48	22	413980	474072	489811	9	9	5	993479216
85	41	30	124	42	137	6014	52	23	412908	476926	495821	10	10	5	250993936
88	28	30	128	45	142	6813	52	23	441364	508597	515260	10	10	5	4040500864
87	29	30	127	43	160	6487	52	24	415334	478696	497493	10	10	5	756454304
91	29	30	127	44	177	11259	66	23	414026	476182	498719	9	9	5	3535040496
85	45	30	129	44	142	6783	55	21	418188	541344	493925	10	10	5	536334032
60	21	35	132	36	160	4248	42	18	336119	380588	391530	10	10	5	3345331200
74	23	35	14415	42	16446	19966	59	22	413920	540516	494898	10	10	5	1839631872
81	25	37	155	40	209	9832	61	22	417330	475701	493931	9	9	5	2061762560
89	26	30	131	39	157	7315	53	24	415673	476294	501077	9	9	5	290880592
90	28	30	130	44	143	6795	52	23	415384	480466	483801	10	10	5	1310138992
32	12	20	13899	24	15885	1562	21	13	169477	191279	197008	10	10	4	2266158336
39	15	37	14438	27	16545	1982	29	16	323101	447067	389774	10	10	5	2882484224
60	20	15	58	33	58	3416	35	17	250630	283458	299532	11	11	5	1820904448
74	24	34	14377	42	16926	4248	66	23	415079	475170	484266	9	9	5	2555239424
70	25	65	180	38	220	13289	49	21	412697	541477	500186	10	10	5	1271670784
79	37	39	152	39	178	14381	48	22	416205	487902	493292	10	10	5	4060938752
77	23	37	150	39	178	14581	47	21	416527	471008	488960	9	9	5	1049540096
103	29	29	125	44	138	7703	52	21	412880	538426	497602	10	10	5	2007092736
90	28	29	123	42	135	7147	52	24	417486	472565	497742	9	9	5	2306938736
94	28	30	125	43	138	14720	63	22	414484	542959	498783	10	10	5	2721152800
65	22	27	13971	36	16072	5501	68	23	405573	469003	490902	10	10	5	258823704
93	28	29	124	46	136	7772	52	22	412725	542464	494986	15	15	5	299356704
28	12	24	78	21	83	1373	22	12	242512	282244	296752	9	9	5	1659489408
18	9	18	92	30	123	698	11	8	155775	185523	191559	10	10	4	1033704632
101	29	29	135	44	136	16597	50	23	415475	477803	503281	9	9	5	739104320
93	28	30	127	44	139	6151	52	22	418211	477199	496759	9	9	5	1513000144
57	20	14	27508	30	32003	8907	48	17	329380	386931	396760	10	10	5	3031757456
